"chinese_name","verified_source_form","english_name","pinyin","role_or_title","first_appearance","status","evidence_type","verification_source","notes"
"李秉哲","","Lee Byung-chull","","Samsung founder","CH01-P003","locked","established official English form","https://www.samsung.com/us/about-us/leadership-and-mission/heritage/","Established official English form takes priority over mechanical romanization."
"郑周永","","Chung Ju-yung","","Hyundai founder","CH01-P003","locked","established official English form","https://www1.hyundai.com/eu/about-hyundai/brand/heritage.html","Established official English form approved; retain its documented ordering and hyphenation."
"盛田昭夫","","Akio Morita","","Sony founder","CH01-P002","locked","established official English form","https://www.sony.com/en/SonyInfo/IR/library/ar/qfhh7c000000g753-att/ar_sony_2000.pdf","Established official English form approved; do not mechanically reorder the name."
"小源浪平","小平浪平","Namihei Odaira","","source-identified Hitachi founder","CH01-P002; CH02-P069–CH02-P073","locked","established official English form plus human-approved entity-identity discrepancy controls","https://www.hitachi.com/en/about/history/comic/namihei-odaira/ | qa/chapter_02_remaining_terminology_decision.md (C2-RD01)","Chinese edition printed form: 小源浪平. Human-verified entity form: 小平浪平. Main translation uses Namihei Odaira and preserves the source dates and narrative. Mandatory translator/editor note for CH02: The source appears to conflate Namihei Odaira (1874–1951), founder of Hitachi, with Konosuke Matsushita (1894–1989), founder of Panasonic, whose early life experiences correspond to the description in this passage. Do not replace the main-text identity or assign blame."
"李缵宇","이찬우 (李纘雨)","Lee Chan-woo","","Lee Byung-chull's father","CH01-P006","locked","project romanization based on verified Korean name","Korean authoritative biographical sources; project-approved research record","Not an official English name. Common surname usage Lee is retained under the approved project convention. Frozen source form remains unchanged."
"李洪锡","이홍석","Lee Hong-seok","","Lee Byung-chull's grandfather","CH01-P006","locked","project romanization based on verified Korean name","Verified Korean source name; project-approved research record","Not an official English name. Common surname usage Lee is retained under the approved project convention."
"金玉均","","Kim Ok-gyun","","historical figure","CH01-P019","locked","authoritative Korean academic English usage","https://www.aks.ac.kr/ikorea/upload/intl/korean/UserFiles/UKS6_Korea_Religious_Places_eng.pdf","Authoritative Korea studies English usage approved."
"李鸿章","","Li Hongzhang","","historical figure","CH01-P019","locked","established English form","U.S. Department of State historical usage; project-approved research record","Established English form approved."
"丰田喜一郎","","Kiichiro Toyoda","","source-identified Toyota figure","CH02-P079","locked","human-approved established English form with mandatory historical/factual discrepancy note","qa/chapter_02_terminology_decision.md (D01; C2-T008); Toyota official history","Source locations: CH02-P079–CH02-P081. Preserve the source identity and dates (1867–1930) in the main translation; do not modify source facts. Mandatory translator/editor note: The source appears to conflate Kiichiro Toyoda (1894–1952), founder of Toyota Motor Corporation, with Sakichi Toyoda (1867–1930), inventor of the automatic loom. Keep the note separate from the author's narrative."
"本田宗一郎","","Soichiro Honda","","Honda founder","CH02-P069","locked","human-approved established official English form","qa/chapter_02_remaining_terminology_decision.md (C2-RD09); Honda official history","Use Soichiro Honda; later Honda is allowed where the person reference is unambiguous."
"赵治勋","","Cho Chikun","","professional Go player","CH02-P083","locked","human-approved established professional English form","qa/chapter_02_remaining_terminology_decision.md (C2-RD09); Nihon Ki-in English usage","Use Cho Chikun. This name lock does not independently verify the source-attributed quotation."
"亨利·福特","","Henry Ford","","Ford founder","CH02-P077","locked","human-approved established official English form","qa/chapter_02_remaining_terminology_decision.md (C2-RD09); Ford official history","Use Henry Ford; later Ford is allowed where unambiguous."
"李光洙","","Yi Kwang-su","","author","CH02-P028","locked","project-lead approved established English form","qa/chapter_02_final_terminology_decision.md (C2-T010); qa/chapter_02_terminology_verification.md","Use Yi Kwang-su in the approved Chapter 2 context."
"马克思","","Karl Marx","","historical political thinker","CH02-P017","locked","project-lead approved established English form","qa/chapter_02_final_terminology_decision.md (C2-T012); qa/chapter_02_terminology_verification.md","Use Karl Marx in the approved Chapter 2 context."
"恩格斯","","Friedrich Engels","","historical political thinker","CH02-P017","locked","project-lead approved established English form","qa/chapter_02_final_terminology_decision.md (C2-T013); qa/chapter_02_terminology_verification.md","Use Friedrich Engels in the approved Chapter 2 context."
"孙基祯","","Sohn Kee-chung","","Korean marathon runner","CH03-P009","locked","project-lead approved established English form","qa/chapter_03_terminology_decision.md (C3-T014)","Preserve the source description. Do not add Japanese-representation facts to the main text unless the source states them."
"李美顺","","Lee Mi-sun","","rice-store owner's daughter named by the source","CH03-P013","locked","source-based project romanization; independent identity unverified","qa/chapter_03_terminology_decision.md (C3-T015)","Do not claim an official English name. Do not invent Hangul, biography, or an alternative name. No reader note is required solely because independent identity evidence is unavailable."
"赛珍珠","","Pearl S. Buck","","author","CH03-P013","locked","project-lead approved established English form","qa/chapter_03_terminology_decision.md (C3-T016)","Use Pearl S. Buck."
"沈熏","","Sim Hun","","author","CH03-P013","locked","project-lead approved established English form","qa/chapter_03_terminology_decision.md (C3-T017)","Main project form is Sim Hun. Shim Hun may be retained as an evidence alias."
"郑亨荣","정현용 (鄭鉉庸)","Jeong Hyeon-yong","","Lee Byung-chull's business partner","CH03-P030","locked","verified Korean identity plus project family-name-first convention","qa/chapter_03_terminology_decision.md (C3-T018); Ho-Am Foundation English material","Supersedes the audit proposal Jeong Hyeong-yeong. Ho-Am evidence alias: Hyon-Yong Jeong."
"朴正源","박정원 (朴正源)","Park Jeong-won","","Lee Byung-chull's business partner","CH03-P030","locked","verified Korean identity plus project romanization","qa/chapter_03_terminology_decision.md (C3-T019)","Use Park Jeong-won."
"天野","","Amano","","Japanese landowner identified by surname only","CH03-P038","locked","source-based surname-only form; independent identity unverified","qa/chapter_03_terminology_decision.md (C3-T020)","Surname only. Do not invent a given name."
"平田","","Hirata","","bank branch manager identified by surname only","CH03-P040","locked","source-based surname-only form; independent identity unverified","qa/chapter_03_terminology_decision.md (C3-T021)","Surname only. Do not invent a given name."
"全斗焕","","Chun Doo-hwan","","South Korean political figure","CH03-P051","locked","project-lead approved established English form","qa/chapter_03_terminology_decision.md (C3-T022)","Use Chun Doo-hwan."
"俾斯麦","","Bismarck era","","historical era reference","CH03-P065","locked","project-lead approved contextual form","qa/chapter_03_terminology_decision.md (C3-T023)","Use Bismarck era where the source describes the era; do not unnecessarily expand to Otto von Bismarck."
"冯·莫特克","","Helmuth von Moltke the Elder","","Prussian field marshal","CH03-P065","locked","project-lead approved contextual identity; quotation wording independently unverified","qa/chapter_03_terminology_decision.md (C3-T024)","Translate the quotation directly from the frozen Chinese source. Do not substitute an externally found English quotation or silently change attribution. No reader-facing discrepancy note is mandatory at this stage."
"李孟熙","","Lee Maeng-hee","","Samsung family member","CH04-P042","locked","project-lead approved English form","qa/chapter_04_terminology_decision.md (C4-T023)","Use Lee Maeng-hee."
"李顺根","","Lee Sun-Geun","","Samsung Company manager","CH04-P033; CH04-P040","locked","established official English historical usage","qa/chapter_04_terminology_decision.md (C4-T024); Ho-Am Foundation official English history","Use Lee Sun-Geun exactly as approved."
"姜晋求","","Kang Jin-ku","","Samsung executive","CH04-P040","locked","project-lead approved English form","qa/chapter_04_terminology_decision.md (C4-T025)","Use Kang Jin-ku; translate the historical corporate title contextually under C4-T076."
"金光镐","","Kim Kwang-ho","","Samsung executive","CH04-P040","locked","project-lead approved English form","qa/chapter_04_terminology_decision.md (C4-T026)","Use Kim Kwang-ho."
"李健熙","","Lee Kun-hee","","Samsung executive","CH04-P040","locked","established English form","qa/chapter_04_terminology_decision.md (C4-T027)","Use Lee Kun-hee."
"栋居 / 棟居","","Munesue","","Japanese brewery operator identified by surname only","CH04-P046","locked","project romanization based on established Japanese surname reading; exact individual reading independently unverified","qa/chapter_04_terminology_decision.md (C4-T028); 1936 Japanese-language Korean newspaper evidence","Surname only. Do not invent or insert a given name. The evidence record names 棟居豊四郞 but does not independently demonstrate this specific individual's surname reading. No reader-facing note required."
"李再韶","","Lee Jae-so","","brewery executive","CH04-P049","locked","source-based project romanization; independent identity evidence limited","qa/chapter_04_terminology_decision.md (C4-T029)","Do not claim an official English name or invent additional biography."
"李昌业","","Lee Chang-eop","","brewery executive","CH04-P049","locked","source-based project romanization; independent identity evidence limited","qa/chapter_04_terminology_decision.md (C4-T030)","Do not claim an official English name or invent additional biography."
"金再明","","Kim Jae-myeong","","plant manager","CH04-P049","locked","source-based project romanization; independent identity evidence limited","qa/chapter_04_terminology_decision.md (C4-T031)","Do not claim an official English name or invent additional biography."
