"source_term","target_term","type","part_of_speech","context","definition","status","evidence_type","verification_source","first_use_gloss","usage_rule","notes"
"日本","Japan","place","proper noun","CH01-P001; CH01-P006; CH01-P010; CH01-P012","Country name","locked","widely established conventional English","Project-approved conventional English usage","","","Use the locked conventional English form."
"庆尚南道","Gyeongsangnam-do","place","proper noun","CH01-P006","Korean administrative division in the Chapter 1 biographical context","locked","official government English usage","Republic of Korea Ministry of the Interior and Safety official English usage; project-approved research record","","","Preserve frozen source footnote FB-F002 explaining that 道 corresponds roughly to a province-level administrative division."
"宜宁","Uiryeong","place","proper noun","CH01-P006","Place name in Gyeongsangnam-do","locked","official local government English usage","https://www.uiryeong.go.kr/index.uiryeong?menuCd=DOM_000000306001002000","","","Uiryeong County official government usage."
"江原道","Gangwon Province","place","proper noun","CH01-P007","Historical-biographical birthplace context","locked","official corporate historical-biographical usage","HD Hyundai official founder materials; project-approved research record","","","Context-sensitive rendering for CH01-P007. Do not replace every occurrence of Gangwon-do with Gangwon Province regardless of context."
"通川郡","Tongcheon County","place","proper noun","CH01-P007","Historical county in the Chapter 1 birthplace context","locked","project historical geographic rendering","Verified Korean source form 통천군 / 通川郡 and established Tongcheon romanization in Hyundai founder materials; project-approved research record","","","Project historical rendering, not a claimed official present-day English administrative name."
"上海","Shanghai","place","proper noun","CH01-P019","City name","locked","widely established conventional English","Project-approved conventional English usage","","","No factual verification of the surrounding source event is implied."
"清云洞","Cheongun-dong","place","proper noun","CH01-P022","Seoul place name","locked","official municipal English usage","Seoul Metropolitan Government English usage; project-approved research record","","","Use the locked municipal English form."
"《千字文》","The Thousand-Character Classic","classical_text","book title","CH01-P014; CH01-P023; CH01-P024","Classical educational text","locked","established English title in major museum / academic sources","Project-approved research record","","Italicize as a book title in English prose.","The locked master title includes the hyphen in Thousand-Character."
"《资治通鉴》","Zizhi Tongjian","classical_text","book title","CH01-P014; CH01-P015; CH01-P016; CH01-P018; CH01-P019; CH01-P020; CH01-P023","Classical Chinese historical work","locked","established scholarly romanization plus established English rendering","Project-approved academic-source review","Comprehensive Mirror in Aid of Governance","First relevant occurrence: italicized Zizhi Tongjian (Comprehensive Mirror in Aid of Governance). Subsequent occurrences: italicized Zizhi Tongjian.","The first-use gloss is not the master title and must not be forced at every occurrence."
"《论语》","The Analects","classical_text","book title","CH01-P014; CH01-P024; CH01-P025","Confucian classical text","locked","established English academic title","Project-approved academic-source review","","Italicize as a book title in English prose.","The Analects of Confucius is an external-source variant, not the preferred project title."
