footnote_id,part,local_page_idx,input_pdf_page,source_page_id,json_block_index,json_bbox,marker_candidates,footnote_body,mapping_status
FB-F001,part_001_200,8,9,FB-P009,15,117:780:286:795,①,① 1 元人民币约折合 120 韩元。,candidate — manual review required
FB-F002,part_001_200,14,15,FB-P015,13,113:769:393:787,①,① 韩国的“道”相当于中国“省”一级的行政单位。,candidate — manual review required
FB-F003,part_001_200,15,16,FB-P016,12,120:775:254:791,①,① 19世纪末20世纪初。,candidate — manual review required
FB-F004,part_001_200,19,20,FB-P020,14,124:773:249:788,①,① 现位于中国吉林省。,candidate — manual review required
FB-F005,part_001_200,20,21,FB-P021,13,127:768:483:784,①,① 位于现朝鲜民主主义人民共和国咸镜北道东北部，为一港口城市。,candidate — manual review required
FB-F006,part_001_200,21,22,FB-P022,16,124:780:226:795,①,① 位于咸镜北道。,candidate — manual review required
FB-F007,part_001_200,27,28,FB-P028,14,123:760:342:776,②,① 日本侵略韩国时，在韩国的统治机构。,candidate — manual review required
FB-F008,part_001_200,27,28,FB-P028,15,124:776:399:793,②,② 面，韩国的行政单位，属于市、郡下一级的单位。,candidate — manual review required
FB-F009,part_001_200,29,30,FB-P030,11,98:722:512:770,①,① 坪，韩国耕地的计量单位，韩国耕地的计量单位，1坪= \frac{400}{121} 米 ^{2} ，1983年停止使用。,candidate — manual review required
FB-F010,part_001_200,30,31,FB-P031,13,122:773:296:788,①,① “国家保卫非常对策委员会”。,candidate — manual review required
FB-F011,part_001_200,34,35,FB-P035,11,134:780:386:795,①,① 韩国的鸟岭以南地区，主要是庆尚南道地区。,candidate — manual review required
FB-F012,part_001_200,38,39,FB-P039,8,127:766:489:782,①|②,① 石是韩国谷物和液体的容量单位，1石=47.6加仑，1加仑=4升。,candidate — manual review required
FB-F013,part_001_200,38,39,FB-P039,9,129:784:209:800,①|②,② 首尔地名。,candidate — manual review required
FB-F014,part_001_200,42,43,FB-P043,8,119:742:257:757,①|②|③,① 以纺织业为主的集团。,candidate — manual review required
FB-F015,part_001_200,42,43,FB-P043,9,119:758:280:775,①|②|③,② 城市名，位于朝鲜咸镜道。,candidate — manual review required
FB-F016,part_001_200,42,43,FB-P043,10,120:775:280:792,①|②|③,③ 城市名，位于朝鲜黄海道。,candidate — manual review required
