source_page_id,part,local_page_idx,input_pdf_page,status,json_anchor_block,anchor_text,markdown_offset
FB-P001,part_001_200,0,1,part-start,,0,0
FB-P002,part_001_200,1,2,mapped,0:title,一代商业巨富的 创业历程 两大世界级企业的 经营宝典,213
FB-P003,part_001_200,2,3,mapped,0:title,走向辉煌,453
FB-P004,part_001_200,3,4,mapped,0:text,Copyright © 2004 by Hong Ha Sang,548
FB-P005,part_001_200,4,5,mapped,1:title,译者序,1340
FB-P006,part_001_200,5,6,mapped,0:title,从平凡走向辉煌,1820
FB-P007,part_001_200,6,7,mapped,1:title,前言,2485
FB-P008,part_001_200,7,8,mapped,0:title,从平凡走向辉煌,2965
FB-P009,part_001_200,8,9,mapped,1:text,与勇气。,3618
FB-P010,part_001_200,9,10,mapped,0:title,从平凡走向辉煌,4197
FB-P011,part_001_200,10,11,mapped,1:text,团队式的经营也是由他们引入韩国的一种独特的经营方式。,4849
FB-P012,part_001_200,11,12,mapped,1:image,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98,5494
FB-P013,part_001_200,12,13,mapped,0:text,"21. 信任与考察 …… 175
22. 玩出名堂 …… 179
23. 正规的高尔夫和红色的高尔夫 …… 185
24. 李秉哲和郑周永的节俭 …… 191
",6120
FB-P014,part_001_200,13,14,mapped,0:title,1 大地主的儿子和贫农的儿子,6291
FB-P015,part_001_200,14,15,mapped,0:title,从平凡走向辉煌,6783
FB-P016,part_001_200,15,16,mapped,3:text,需要特别指出的是：尽管郑周永在私塾的学习只有短短的三年时间，但他所学的汉文《大学》、《资治通鉴》、五言诗、七言诗等，即便对于当今四年制本科大学毕业生而言，也是无,7506
FB-P017,part_001_200,16,17,mapped,0:title,从平凡走向辉煌,8094
FB-P018,part_001_200,17,18,mapped,0:title,2,8251
FB-P019,part_001_200,18,19,mapped,0:text,从平凡走向辉煌,8731
FB-P020,part_001_200,19,20,mapped,2:text,日本产业界也受到经济大恐慌的影响，开始裁员。随之而来的是工厂倒闭。瞬时间数十万名失业者涌上街头，和失去工作返乡的人加起来，足有三百余万人。工厂出现连日的罢工，即,9424
FB-P021,part_001_200,20,21,mapped,0:title,从平凡走向辉煌,10035
FB-P022,part_001_200,21,22,mapped,3:text,1933 年，郑周永 19 岁，第四次离家出走。开始的时候在仁川码头做搬运工和一些重体力劳动，之后去了首尔。,10736
FB-P023,part_001_200,22,23,mapped,0:title,从平凡走向辉煌,11318
FB-P024,part_001_200,23,24,mapped,3:text,第四次离家出走，他从臭虫那里得到了巨大的启迪。,12040
FB-P025,part_001_200,24,25,mapped,0:title,从平凡走向辉煌,12682
FB-P026,part_001_200,25,26,mapped,1:title,年轻的米店老板和二十出头的大地主,13213
FB-P027,part_001_200,26,27,mapped,0:title,从平凡走向辉煌,13798
FB-P028,part_001_200,27,28,mapped,3:text,郑周永和李秉哲都差一点在二十几岁的时候获得商业上的成功，但都由于外部的原因事业上遭到失败。这一点很是相似。,14656
FB-P029,part_001_200,28,29,mapped,0:title,从平凡走向辉煌,15115
FB-P030,part_001_200,29,30,mapped,2:text,李秉哲得知马山的运输工具——卡车数量不足。卡车的运费很高，如果购入几辆卡车，成立一家运输谷物的运输公司的话，前景会很不错。,15793
FB-P031,part_001_200,30,31,mapped,0:title,从平凡走向辉煌,16389
FB-P032,part_001_200,31,32,mapped,2:text,李秉哲在年轻的时候非常顺利地从殖产银行贷款，买入了200万坪的农田成为了大地主。农田年产大米达1万石。用那笔钱他甚至在釜山和大邱购买了修建住宅的土地。然而，由于,17031
FB-P033,part_001_200,32,33,mapped,0:title,从平凡走向辉煌,17699
FB-P034,part_001_200,33,34,mapped,0:title,星标面条和阿道汽车修理厂,17860
FB-P035,part_001_200,34,35,mapped,1:text,在金海投资 200 万坪土地失败了的李秉哲，振作精神重新开始了创业之路。,18410
FB-P036,part_001_200,35,36,mapped,3:text,现在看来，到北京或是上海坐飞机不过是两三个小时的路程，可是当时经中国东北到北京、上海却是无法想像的艰难之旅。,19087
FB-P037,part_001_200,36,37,mapped,0:text,品的情况。,19707
FB-P038,part_001_200,37,38,mapped,2:text,下经营理念：,20379
FB-P039,part_001_200,38,39,mapped,0:title,从平凡走向辉煌,21055
FB-P040,part_001_200,39,40,mapped,3:text,郑周永在 1941 年开始经营阿道汽车修理厂，由于当时处于日本帝国主义统治下，无法获知汽车的数量，不过根据一部分数字来看，1931 年韩国汽车数量为 4331 ,21798
FB-P041,part_001_200,40,41,mapped,0:title,从平凡走向辉煌,22532
FB-P042,part_001_200,41,42,mapped,0:title,5 三星物产公司和现代汽车工业公司,23015
FB-P043,part_001_200,42,43,mapped,0:text,从平凡走向辉煌,23462
FB-P044,part_001_200,43,44,mapped,2:text,在这个地方，李秉哲花了一年的时间对于未来的事业苦思冥想，最终下决心从事贸易。,24116
FB-P045,part_001_200,44,45,mapped,0:title,从平凡走向辉煌,24768
FB-P046,part_001_200,45,46,mapped,2:text,基于李秉哲长时期对市场调查和贸易活动的分析，他的事业迅速发展。随着开始经营钢铁等原材料，贸易范围已经增加到了数百种，对象国包括美国等发达国家。,25535
FB-P047,part_001_200,46,47,mapped,0:title,从平凡走向辉煌,26166
FB-P048,part_001_200,47,48,mapped,1:text,时至今日，郑周永和李秉哲两位巨人分别把现代和三星经营为世界性的大企业，我们无法说哪一种方法更具有优越性。,26802
FB-P049,part_001_200,48,49,blank-candidate,no semantic Markdown/JSON block,visual confirmation required,27459
FB-P050,part_001_200,49,50,mapped,0:title,6 理发师的启示,27459
FB-P051,part_001_200,50,51,mapped,1:text,1950 年 2 月，李秉哲访问日本。全泽、薛卿东等 15 人同行。那正是日本经济开始复苏的时候。,28034
FB-P052,part_001_200,51,52,mapped,1:text,这是李秉哲自传《湖岩自传》中的一段话。,28713
FB-P053,part_001_200,52,53,mapped,0:title,从平凡走向辉煌,29445
FB-P054,part_001_200,53,54,mapped,0:title,7 大麦草坪和白糖,30166
FB-P055,part_001_200,54,55,mapped,0:title,从平凡走向辉煌,30571
FB-P056,part_001_200,55,56,mapped,2:text,由于没有店主人，他们在门板上写明取走的物品，和主人回来后可以去拿钱的地方。,31327
FB-P057,part_001_200,56,57,mapped,1:text,情，可是每一个人对此都是束手无策。,31880
FB-P058,part_001_200,57,58,mapped,1:text,如果是现在，或许可以通过一个电话或电子邮件报告收支情况，或许可以通过银行转账上交利润，可是当时那都是不可能的事情。,32596
FB-P059,part_001_200,58,59,mapped,0:text,家呢？,33302
FB-P060,part_001_200,59,60,mapped,1:text,他开始着手制造业。,33988
FB-P061,part_001_200,60,61,mapped,2:text,1953 年 8 月，“第一制糖”历尽曲折终于在釜山成立。这也是李秉哲正式进军制造业的第一步。,34784
FB-P062,part_001_200,61,62,mapped,1:text,“只放一点原料进去试一试。”李秉哲说。,35307
FB-P063,part_001_200,62,63,mapped,0:text,从平凡走向辉煌,35965
FB-P064,part_001_200,63,64,mapped,1:text,“经商也有经商的道义。从商道来看，牟取那样的暴利是不行的。我创办‘第一制糖’生产白糖，是想通过三星物产赚的钱投资到制造业，为国民经济贡献一点我的微薄之力。我没有,36680
FB-P065,part_001_200,64,65,mapped,0:title,从平凡走向辉煌,37389
FB-P066,part_001_200,65,66,mapped,0:title,8 高级布料和高灵桥工程,37512
FB-P067,part_001_200,66,67,mapped,0:text,在 “第一制糖” 已成规模的 1954 年，李秉哲又开始进军毛纺织业。,38032
FB-P068,part_001_200,67,68,mapped,2:text,然而李秉哲并没有退缩。他深入调查了解纺织生产相关的技术知识和开办工厂的相关内容。,38678
FB-P069,part_001_200,68,69,mapped,0:text,从平凡走向辉煌,39332
FB-P070,part_001_200,69,70,mapped,1:text,为国产的西服布料根本无法跟进口的相比。,40019
